Supplier_ID,Supplier_Name,Supplier_Industry,Supplier_Year,Baseline_Year,Target_Year,Reported_Emissions,Scope1_Emission,Scope2_Emission,Scope3_Emission,Gross_Spend,Revenue,Total_Emission_Value,Emission_Source_Flag,Emissions_Data_Available_Flag,Data_Quality_Flag,Missing_Parameter_Flag,Validation_Flag,Forecast_Year,Forecast_Method_Flag,Baseline_Emission,Target_Emission,Forecast_Emission,Glide_Path_Emission,Absolute_Reduction,Emission_Intensity,Intensity_Reduction,Gap_to_Target,Annual_Reduction_Required,Carbon_Budget_Remaining,Cumulative_Emissions,Confidence_Score,Supplier_Risk_Category,Target_Achievement_Status
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2025,Supplier Target Pathway,799.0691,417.1141,718.6575,718.6575,80.4116,4.902e-05,0.100632,301.5434,20.1029,5955.1681,718.6575,0.99,Critical,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2026,Supplier Target Pathway,799.0691,417.1141,698.5546,698.5546,100.5145,4.765e-05,0.125789,281.4405,20.1029,5256.6135,1417.2121,0.99,Critical,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2027,Supplier Target Pathway,799.0691,417.1141,678.4517,678.4517,120.6174,4.628e-05,0.150947,261.3377,20.1029,4578.1618,2095.6638,0.99,Critical,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2028,Supplier Target Pathway,799.0691,417.1141,658.3488,658.3488,140.7203,4.491e-05,0.176105,241.2348,20.1029,3919.813,2754.0126,0.99,Critical,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2029,Supplier Target Pathway,799.0691,417.1141,638.2459,638.2459,160.8232,4.354e-05,0.201263,221.1319,20.1029,3281.5671,3392.2585,0.99,Critical,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2030,Supplier Target Pathway,799.0691,417.1141,618.143,618.143,180.9261,4.217e-05,0.226421,201.029,20.1029,2663.4241,4010.4015,0.99,Critical,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2031,Supplier Target Pathway,799.0691,417.1141,598.0401,598.0401,201.029,4.08e-05,0.251579,180.9261,20.1029,2065.384,4608.4416,0.99,Critical,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2032,Supplier Target Pathway,799.0691,417.1141,577.9372,577.9372,221.1319,3.942e-05,0.276737,160.8232,20.1029,1487.4468,5186.3788,0.99,Critical,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2033,Supplier Target Pathway,799.0691,417.1141,557.8343,557.8343,241.2348,3.805e-05,0.301895,140.7203,20.1029,929.6125,5744.2131,0.99,High,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2034,Supplier Target Pathway,799.0691,417.1141,537.7314,537.7314,261.3377,3.668e-05,0.327053,120.6174,20.1029,391.8811,6281.9445,0.99,High,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2035,Supplier Target Pathway,799.0691,417.1141,517.6286,517.6286,281.4405,3.531e-05,0.352211,100.5145,20.1029,-125.7475,6799.5731,0.99,High,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2036,Supplier Target Pathway,799.0691,417.1141,497.5257,497.5257,301.5434,3.394e-05,0.377368,80.4116,20.1029,-623.2732,7297.0988,0.99,High,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2037,Supplier Target Pathway,799.0691,417.1141,477.4228,477.4228,321.6463,3.257e-05,0.402526,60.3087,20.1029,-1100.696,7774.5216,0.99,Medium,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2038,Supplier Target Pathway,799.0691,417.1141,457.3199,457.3199,341.7492,3.12e-05,0.427684,40.2058,20.1029,-1558.0159,8231.8415,0.99,Medium,On Track to Glide Path
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2039,Supplier Target Pathway,799.0691,417.1141,437.217,437.217,361.8521,2.983e-05,0.452842,20.1029,20.1029,-1995.2329,8669.0585,0.99,Medium,On Track to Glide Path
