Supplier_ID,Supplier_Name,Supplier_Industry,Supplier_Year,Gross_Spend,Revenue,Reported_Emissions,Scope1_Emission,Scope2_Emission,Scope3_Emission,Baseline_Year,Target_Year,Target_Reduction_Percentage,Interim_Target_Reduction_Percentage,Industry_Baseline_Year,Industry_Target_Year,Industry_Reduction_Percentage,Industry_Emission_Factor,Spend_Based_Emission_Factor,Revenue_Based_Emission_Intensity
SUP-0001,Professional Supplier 001,Professional Services,2015,8929709.46,14715731.77,,195.7142,,,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658
SUP-0001,Professional Supplier 001,Professional Services,2016,8713653.73,16786825.79,824.1616,,78.4703,663.2914,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658
SUP-0001,Professional Supplier 001,Professional Services,2017,11180556.71,23582290.78,917.5956,176.0997,110.1337,588.0937,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658
SUP-0001,Professional Supplier 001,Professional Services,2018,11049242.33,17908111.79,,243.1622,136.1182,536.7631,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658
SUP-0001,Professional Supplier 001,Professional Services,2019,10388936.39,22477291.35,855.9282,106.9347,91.5333,582.8864,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658
SUP-0001,Professional Supplier 001,Professional Services,2020,12306110.33,26707674.82,933.3792,,127.5841,653.7876,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658
SUP-0001,Professional Supplier 001,Professional Services,2021,10378835.56,26838099.96,,91.2199,,600.3301,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658
SUP-0001,Professional Supplier 001,Professional Services,2022,14157640.33,27636358.4,1190.7194,290.8411,67.2197,759.1163,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658
SUP-0001,Professional Supplier 001,Professional Services,2023,15985212.63,27528316.27,1279.5899,,,,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658
SUP-0001,Professional Supplier 001,Professional Services,2024,16663864.5,33844140.0,,79.7811,186.6403,668.1231,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658
SUP-0002,Textiles Supplier 002,Textiles,2015,21562167.91,72866699.57,9040.9667,1241.4006,512.652,,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0002,Textiles Supplier 002,Textiles,2016,21316278.19,62811272.33,7963.5569,680.0877,1740.6913,,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0002,Textiles Supplier 002,Textiles,2017,18946796.12,75186820.56,8035.9235,1001.9577,1543.7679,5168.2771,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0002,Textiles Supplier 002,Textiles,2018,22664638.32,74932065.31,8786.595,,,6683.3831,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0002,Textiles Supplier 002,Textiles,2019,20430922.47,71206667.77,7258.539,1282.3467,1374.3187,,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0002,Textiles Supplier 002,Textiles,2020,28829769.51,84061203.45,12518.5458,3353.9337,1737.7147,,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0002,Textiles Supplier 002,Textiles,2021,26771946.84,,,1958.7766,746.4904,4772.2435,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0002,Textiles Supplier 002,Textiles,2022,28741343.46,84176219.13,8208.5061,825.3989,814.1481,,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0002,Textiles Supplier 002,Textiles,2023,22644645.97,77373171.61,7231.8153,1402.5033,636.5549,5559.0151,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0002,Textiles Supplier 002,Textiles,2024,28033642.13,159297478.5,,959.4414,990.8535,7995.6351,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0003,Electronics Supplier 003,Electronics,2015,6238851.19,,4290.6371,,531.1107,,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0003,Electronics Supplier 003,Electronics,2016,6962351.64,,4781.2477,805.9985,,3019.1396,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0003,Electronics Supplier 003,Electronics,2017,7126288.42,27443905.47,4327.548,1038.6433,,2882.6325,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0003,Electronics Supplier 003,Electronics,2018,,24622697.24,4242.1461,,533.4873,2705.2282,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0003,Electronics Supplier 003,Electronics,2019,8481437.22,24670734.85,5325.6246,1447.5085,610.8751,3195.117,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0003,Electronics Supplier 003,Electronics,2020,9413823.46,30055273.3,5235.5213,1140.6453,854.3442,,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
