Supplier_ID,Supplier_Name,Supplier_Industry,Supplier_Year,Gross_Spend,Revenue,Reported_Emissions,Scope1_Emission,Scope2_Emission,Scope3_Emission,Baseline_Year,Target_Year,Target_Reduction_Percentage,Interim_Target_Reduction_Percentage,Industry_Baseline_Year,Industry_Target_Year,Industry_Reduction_Percentage,Industry_Emission_Factor,Spend_Based_Emission_Factor,Revenue_Based_Emission_Intensity,Total_Emission_Value,Emission_Source_Flag,Emissions_Data_Available_Flag,Spend_Based_Emission,Revenue_Based_Emission,Spend_Based_vs_Actual,Revenue_Based_vs_Actual,Spend_Based_Variance_Percentage,Revenue_Based_Variance_Percentage,Data_Quality_Flag,Missing_Parameter_Flag,Base_Confidence_Score,Validation_Flag
SUP-0001,Professional Supplier 001,Professional Services,2015,8929709.46,14715731.77,861.0206,195.7142,60.2963,583.9106,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658,861.0206,Provided Total Emissions,True,1152.4683,2892.8186,291.4477,2031.798,0.338491,2.359755,High,None,0.95,Valid
SUP-0001,Professional Supplier 001,Professional Services,2016,8058644.32,20293448.65,625.7589,132.5924,103.3699,357.3145,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658,625.7589,Provided Total Emissions,True,1040.0486,3989.2861,414.2897,3363.5272,0.66206,5.375117,High,None,0.95,Valid
SUP-0001,Professional Supplier 001,Professional Services,2017,9417684.77,23571903.73,739.6495,59.7084,108.5578,574.7995,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658,739.6495,Provided Total Emissions,True,1215.4464,4633.7648,475.7969,3894.1153,0.643273,5.264812,High,None,0.95,Valid
SUP-0001,Professional Supplier 001,Professional Services,2018,9654240.4,17715731.68,942.8898,224.324,101.4968,604.2606,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658,942.8898,Provided Total Emissions,True,1245.9763,3482.5585,303.0865,2539.6687,0.321444,2.693495,High,None,0.95,Valid
SUP-0001,Professional Supplier 001,Professional Services,2019,11716475.76,22734685.87,794.7667,188.2817,168.7676,416.0885,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658,794.7667,Provided Total Emissions,True,1512.1284,4469.1845,717.3617,3674.4178,0.902607,4.623266,High,None,0.95,Valid
SUP-0001,Professional Supplier 001,Professional Services,2020,12062470.15,20630532.84,1122.4783,120.1681,140.1851,909.4936,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658,1122.4783,Provided Total Emissions,True,1556.7824,4055.5501,434.3041,2933.0718,0.386915,2.613032,High,None,0.95,Valid
SUP-0001,Professional Supplier 001,Professional Services,2021,13887283.88,26196286.22,799.0691,194.798,124.877,505.039,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658,799.0691,Provided Total Emissions,True,1792.2929,5149.6659,993.2238,4350.5968,1.242976,5.444582,High,None,0.95,Valid
SUP-0001,Professional Supplier 001,Professional Services,2022,12897527.16,22352818.62,1167.0447,215.6192,117.8514,733.6514,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658,1167.0447,Provided Total Emissions,True,1664.5549,4394.1171,497.5102,3227.0724,0.426299,2.765166,High,None,0.95,Valid
SUP-0001,Professional Supplier 001,Professional Services,2023,14756108.85,31573987.56,1234.4554,206.4269,258.8131,714.2435,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658,1234.4554,Provided Total Emissions,True,1904.4234,6206.8145,669.968,4972.3591,0.542724,4.027978,High,None,0.95,Valid
SUP-0001,Professional Supplier 001,Professional Services,2024,14659284.07,38852519.79,996.923,170.7065,70.4457,823.8057,2021.0,2040.0,0.478,0.2876,2020,,,400.0326,0.00012906,0.00019658,996.923,Provided Total Emissions,True,1891.9272,7637.6283,895.0042,6640.7053,0.897767,6.661202,High,None,0.95,Valid
SUP-0002,Textiles Supplier 002,Textiles,2015,1770328.1,8439368.8,499.0619,58.5424,53.6096,373.7621,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343,499.0619,Provided Total Emissions,True,517.3076,1463.6397,18.2457,964.5778,0.03656,1.932782,High,None,0.95,Valid
SUP-0002,Textiles Supplier 002,Textiles,2016,1790052.2,7431301.54,499.5827,69.348,59.7784,345.2596,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343,499.5827,Provided Total Emissions,True,523.0712,1288.8106,23.4885,789.2279,0.047016,1.579774,High,None,0.95,Valid
SUP-0002,Textiles Supplier 002,Textiles,2017,1589094.76,6542947.16,589.2366,82.9763,118.6589,384.2626,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343,589.2366,Provided Total Emissions,True,464.3494,1134.7433,-124.8872,545.5067,-0.211947,0.925786,High,None,0.95,Valid
SUP-0002,Textiles Supplier 002,Textiles,2018,1791485.54,8389559.22,605.8899,64.7509,35.0649,486.9595,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343,605.8899,Provided Total Emissions,True,523.49,1455.0013,-82.3999,849.1114,-0.135998,1.401428,High,None,0.95,Valid
SUP-0002,Textiles Supplier 002,Textiles,2019,1559804.3,7534341.52,546.4897,111.48,46.314,392.9195,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343,546.4897,Provided Total Emissions,True,455.7904,1306.6808,-90.6993,760.1911,-0.165967,1.391044,High,None,0.95,Valid
SUP-0002,Textiles Supplier 002,Textiles,2020,2148801.46,8745123.38,803.9844,193.8878,88.1413,525.8351,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343,803.9844,Provided Total Emissions,True,627.9013,1516.6667,-176.0831,712.6823,-0.219013,0.886438,High,None,0.95,Valid
SUP-0002,Textiles Supplier 002,Textiles,2021,1954844.5,9204133.11,523.6637,40.0254,45.1173,433.4619,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343,523.6637,Provided Total Emissions,True,571.2251,1596.2728,47.5614,1072.6091,0.090824,2.048279,High,None,0.95,Valid
SUP-0002,Textiles Supplier 002,Textiles,2022,2076524.99,8611039.42,689.9704,151.5974,58.3124,479.4331,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343,689.9704,Provided Total Emissions,True,606.7814,1493.4126,-83.189,803.4422,-0.120569,1.164459,High,None,0.95,Valid
SUP-0002,Textiles Supplier 002,Textiles,2023,2023176.04,10863173.79,648.4259,169.1121,99.0613,399.1243,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343,648.4259,Provided Total Emissions,True,591.1923,1884.0002,-57.2336,1235.5743,-0.088265,1.905498,High,None,0.95,Valid
SUP-0002,Textiles Supplier 002,Textiles,2024,1961826.78,7611105.33,609.8191,130.8505,61.9081,437.2972,2021.0,2040.0,0.3164,0.1385,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343,609.8191,Provided Total Emissions,True,573.2654,1319.994,-36.5537,710.1749,-0.059942,1.164567,High,None,0.95,Valid
SUP-0003,Electronics Supplier 003,Electronics,2015,9739586.59,59308624.42,9908.0875,2372.3859,1415.2186,6276.9161,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,9908.0875,Provided Total Emissions,True,8386.271,8271.7738,-1521.8165,-1636.3137,-0.153593,-0.165149,High,None,0.95,Valid
SUP-0003,Electronics Supplier 003,Electronics,2016,10601619.07,53872838.97,9411.6836,1230.989,1937.7465,6501.1085,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,9411.6836,Provided Total Emissions,True,9128.5241,7513.6449,-283.1595,-1898.0387,-0.030086,-0.201668,High,None,0.95,Valid
