Supplier_ID,Supplier_Name,Supplier_Industry,Supplier_Country,Preferred_Supplier_Flag,Supplier_Status
SUP-0001,Professional Supplier 001,Professional Services,CN,True,Active
SUP-0002,Textiles Supplier 002,Textiles,CN,False,Active
SUP-0003,Electronics Supplier 003,Electronics,IN,False,Strategic
SUP-0004,Agriculture Supplier 004,Agriculture,CN,True,Active
SUP-0005,Professional Supplier 005,Professional Services,DE,True,Active
SUP-0006,Agriculture Supplier 006,Agriculture,UK,False,Active
SUP-0007,Chemicals Supplier 007,Chemicals,UK,True,Active
SUP-0008,Electronics Supplier 008,Electronics,DE,True,Active
SUP-0009,Professional Supplier 009,Professional Services,CN,False,Strategic
SUP-0010,Packaging Supplier 010,Packaging,MX,False,Active
SUP-0011,Agriculture Supplier 011,Agriculture,IN,True,Active
SUP-0012,Textiles Supplier 012,Textiles,DE,True,Strategic
SUP-0013,Electronics Supplier 013,Electronics,DE,True,Active
SUP-0014,Textiles Supplier 014,Textiles,IN,False,Active
SUP-0015,Packaging Supplier 015,Packaging,UK,False,Active
SUP-0016,Metals Supplier 016,Metals,UK,True,Active
SUP-0017,Electronics Supplier 017,Electronics,US,False,Active
SUP-0018,Professional Supplier 018,Professional Services,DE,True,Active
SUP-0019,Metals Supplier 019,Metals,MX,True,Active
SUP-0020,Logistics Supplier 020,Logistics,IN,False,Active
SUP-0021,Textiles Supplier 021,Textiles,US,True,Watchlist
SUP-0022,Chemicals Supplier 022,Chemicals,JP,False,Active
SUP-0023,Agriculture Supplier 023,Agriculture,JP,False,Active
SUP-0024,Agriculture Supplier 024,Agriculture,CN,True,Active
SUP-0025,Metals Supplier 025,Metals,JP,True,Active
SUP-0026,Professional Supplier 026,Professional Services,IN,False,Active
SUP-0027,Metals Supplier 027,Metals,UK,False,Active
SUP-0028,Professional Supplier 028,Professional Services,CN,False,Active
SUP-0029,Electronics Supplier 029,Electronics,MX,True,Active
SUP-0030,Agriculture Supplier 030,Agriculture,US,True,Active
SUP-0031,Professional Supplier 031,Professional Services,DE,True,Active
SUP-0032,Agriculture Supplier 032,Agriculture,DE,False,Active
SUP-0033,Metals Supplier 033,Metals,IN,False,Active
SUP-0034,Logistics Supplier 034,Logistics,JP,True,Strategic
SUP-0035,Electronics Supplier 035,Electronics,US,True,Active
SUP-0036,Metals Supplier 036,Metals,JP,False,Active
SUP-0037,Agriculture Supplier 037,Agriculture,IN,True,Active
SUP-0038,Agriculture Supplier 038,Agriculture,CN,True,Strategic
SUP-0039,Electronics Supplier 039,Electronics,JP,True,Active
SUP-0040,Chemicals Supplier 040,Chemicals,US,False,Active
SUP-0041,Logistics Supplier 041,Logistics,MX,False,Strategic
SUP-0042,Chemicals Supplier 042,Chemicals,US,False,Active
