SupplierID,SupplierName,Industry,ForecastMethod,Year,Scope,ScopePct,ScopeEmissions_tCO2e
SUP-001,Atlas Mining Co.,Mining,Supplier Target,2025,Scope 1,0.18,4977.0
SUP-001,Atlas Mining Co.,Mining,Supplier Target,2025,Scope 2,0.14,3871.0
SUP-001,Atlas Mining Co.,Mining,Supplier Target,2025,Scope 3,0.68,18802.0
SUP-002,Northern Ore Partners,Mining,Supplier Target,2025,Scope 1,0.17,3604.0
SUP-002,Northern Ore Partners,Mining,Supplier Target,2025,Scope 2,0.13,2756.0
SUP-002,Northern Ore Partners,Mining,Supplier Target,2025,Scope 3,0.7,14840.0
SUP-003,Sierra Minerals,Mining,Expert Judgement,2025,Scope 1,0.2,3680.0
SUP-003,Sierra Minerals,Mining,Expert Judgement,2025,Scope 2,0.15,2760.0
SUP-003,Sierra Minerals,Mining,Expert Judgement,2025,Scope 3,0.65,11960.0
SUP-004,Green Ridge Mining,Mining,Supplier Target,2025,Scope 1,0.22,3311.0
SUP-004,Green Ridge Mining,Mining,Supplier Target,2025,Scope 2,0.13,1956.5
SUP-004,Green Ridge Mining,Mining,Supplier Target,2025,Scope 3,0.65,9782.5
SUP-005,BlueRock Aggregates,Mining,Expert Judgement,2025,Scope 1,0.21,2520.0
SUP-005,BlueRock Aggregates,Mining,Expert Judgement,2025,Scope 2,0.11,1320.0
SUP-005,BlueRock Aggregates,Mining,Expert Judgement,2025,Scope 3,0.68,8160.0
SUP-006,Terra Excavation,Mining,Supplier Target,2025,Scope 1,0.19,3847.5
SUP-006,Terra Excavation,Mining,Supplier Target,2025,Scope 2,0.15,3037.5
SUP-006,Terra Excavation,Mining,Supplier Target,2025,Scope 3,0.66,13365.0
SUP-007,Horizon Steelworks,Steel,Supplier Target,2025,Scope 1,0.29,6974.5
SUP-007,Horizon Steelworks,Steel,Supplier Target,2025,Scope 2,0.18,4329.0
SUP-007,Horizon Steelworks,Steel,Supplier Target,2025,Scope 3,0.53,12746.5
SUP-008,Pioneer Metals,Steel,Supplier Target,2025,Scope 1,0.27,5440.5
SUP-008,Pioneer Metals,Steel,Supplier Target,2025,Scope 2,0.17,3425.5
SUP-008,Pioneer Metals,Steel,Supplier Target,2025,Scope 3,0.56,11284.0
SUP-009,Riverbend Steel,Steel,Expert Judgement,2025,Scope 1,0.3,4980.0
SUP-009,Riverbend Steel,Steel,Expert Judgement,2025,Scope 2,0.16,2656.0
SUP-009,Riverbend Steel,Steel,Expert Judgement,2025,Scope 3,0.54,8964.0
SUP-010,Kanto Specialty Steel,Steel,Supplier Target,2025,Scope 1,0.25,3887.5
SUP-010,Kanto Specialty Steel,Steel,Supplier Target,2025,Scope 2,0.19,2954.5
SUP-010,Kanto Specialty Steel,Steel,Supplier Target,2025,Scope 3,0.56,8708.0
SUP-011,Crescent Alloy Ltd.,Steel,Expert Judgement,2025,Scope 1,0.31,4014.5
SUP-011,Crescent Alloy Ltd.,Steel,Expert Judgement,2025,Scope 2,0.14,1813.0
SUP-011,Crescent Alloy Ltd.,Steel,Expert Judgement,2025,Scope 3,0.55,7122.5
SUP-012,Metro Sheet Metals,Steel,Supplier Target,2025,Scope 1,0.26,3770.0
SUP-012,Metro Sheet Metals,Steel,Supplier Target,2025,Scope 2,0.18,2610.0
SUP-012,Metro Sheet Metals,Steel,Supplier Target,2025,Scope 3,0.56,8120.0
SUP-013,Continental Cement,Cement,Supplier Target,2025,Scope 1,0.34,7412.0
SUP-013,Continental Cement,Cement,Supplier Target,2025,Scope 2,0.12,2616.0
SUP-013,Continental Cement,Cement,Supplier Target,2025,Scope 3,0.54,11772.0
SUP-014,Summit Cement Group,Cement,Expert Judgement,2025,Scope 1,0.36,6786.0
SUP-014,Summit Cement Group,Cement,Expert Judgement,2025,Scope 2,0.11,2073.5
SUP-014,Summit Cement Group,Cement,Expert Judgement,2025,Scope 3,0.53,9990.5
SUP-015,Delta Building Materials,Cement,Supplier Target,2025,Scope 1,0.33,5214.0
SUP-015,Delta Building Materials,Cement,Supplier Target,2025,Scope 2,0.13,2054.0
SUP-015,Delta Building Materials,Cement,Supplier Target,2025,Scope 3,0.54,8532.0
SUP-016,LimeStone Works,Cement,Expert Judgement,2025,Scope 1,0.35,4322.5
SUP-016,LimeStone Works,Cement,Expert Judgement,2025,Scope 2,0.1,1235.0
SUP-016,LimeStone Works,Cement,Expert Judgement,2025,Scope 3,0.55,6792.5
SUP-017,Urban Concrete Supply,Cement,Supplier Target,2025,Scope 1,0.32,4672.0
SUP-017,Urban Concrete Supply,Cement,Supplier Target,2025,Scope 2,0.12,1752.0
SUP-017,Urban Concrete Supply,Cement,Supplier Target,2025,Scope 3,0.56,8176.0
SUP-018,NovaChem Inputs,Chemicals,Supplier Target,2025,Scope 1,0.24,4152.0
SUP-018,NovaChem Inputs,Chemicals,Supplier Target,2025,Scope 2,0.2,3460.0
SUP-018,NovaChem Inputs,Chemicals,Supplier Target,2025,Scope 3,0.56,9688.0
SUP-019,Evergreen Polymers,Chemicals,Expert Judgement,2025,Scope 1,0.23,3542.0
SUP-019,Evergreen Polymers,Chemicals,Expert Judgement,2025,Scope 2,0.21,3234.0
SUP-019,Evergreen Polymers,Chemicals,Expert Judgement,2025,Scope 3,0.56,8624.0
SUP-020,Pacific Additives,Chemicals,Supplier Target,2025,Scope 1,0.22,3058.0
SUP-020,Pacific Additives,Chemicals,Supplier Target,2025,Scope 2,0.19,2641.0
SUP-020,Pacific Additives,Chemicals,Supplier Target,2025,Scope 3,0.59,8201.0
SUP-021,Solstice Chemicals,Chemicals,Supplier Target,2025,Scope 1,0.21,2425.5
SUP-021,Solstice Chemicals,Chemicals,Supplier Target,2025,Scope 2,0.2,2310.0
SUP-021,Solstice Chemicals,Chemicals,Supplier Target,2025,Scope 3,0.59,6814.5
SUP-022,Orion Industrial Gases,Chemicals,Expert Judgement,2025,Scope 1,0.25,2800.0
SUP-022,Orion Industrial Gases,Chemicals,Expert Judgement,2025,Scope 2,0.18,2016.0
SUP-022,Orion Industrial Gases,Chemicals,Expert Judgement,2025,Scope 3,0.57,6384.0
SUP-023,SwiftLine Freight,Logistics,Supplier Target,2025,Scope 1,0.14,2191.0
SUP-023,SwiftLine Freight,Logistics,Supplier Target,2025,Scope 2,0.08,1252.0
SUP-023,SwiftLine Freight,Logistics,Supplier Target,2025,Scope 3,0.78,12207.0
SUP-024,OceanBridge Carriers,Logistics,Expert Judgement,2025,Scope 1,0.16,2096.0
SUP-024,OceanBridge Carriers,Logistics,Expert Judgement,2025,Scope 2,0.07,917.0
SUP-024,OceanBridge Carriers,Logistics,Expert Judgement,2025,Scope 3,0.77,10087.0
SUP-025,EuroRail Logistics,Logistics,Supplier Target,2025,Scope 1,0.1,1100.0
SUP-025,EuroRail Logistics,Logistics,Supplier Target,2025,Scope 2,0.09,990.0
SUP-025,EuroRail Logistics,Logistics,Supplier Target,2025,Scope 3,0.81,8910.0
SUP-026,Metro Distribution,Logistics,Supplier Target,2025,Scope 1,0.12,1128.0
SUP-026,Metro Distribution,Logistics,Supplier Target,2025,Scope 2,0.12,1128.0
SUP-026,Metro Distribution,Logistics,Supplier Target,2025,Scope 3,0.76,7144.0
SUP-027,SkyLift Air Cargo,Logistics,Expert Judgement,2025,Scope 1,0.18,2043.0
SUP-027,SkyLift Air Cargo,Logistics,Expert Judgement,2025,Scope 2,0.06,681.0
SUP-027,SkyLift Air Cargo,Logistics,Expert Judgement,2025,Scope 3,0.76,8626.0
SUP-028,Harvest Foods Co.,Food & Beverage,Supplier Target,2025,Scope 1,0.12,1506.0
SUP-028,Harvest Foods Co.,Food & Beverage,Supplier Target,2025,Scope 2,0.1,1255.0
SUP-028,Harvest Foods Co.,Food & Beverage,Supplier Target,2025,Scope 3,0.78,9789.0
SUP-029,FreshFields Produce,Food & Beverage,Supplier Target,2025,Scope 1,0.11,1177.0
SUP-029,FreshFields Produce,Food & Beverage,Supplier Target,2025,Scope 2,0.11,1177.0
SUP-029,FreshFields Produce,Food & Beverage,Supplier Target,2025,Scope 3,0.78,8346.0
SUP-030,Tropico Ingredients,Food & Beverage,Expert Judgement,2025,Scope 1,0.13,1274.0
SUP-030,Tropico Ingredients,Food & Beverage,Expert Judgement,2025,Scope 2,0.09,882.0
SUP-030,Tropico Ingredients,Food & Beverage,Expert Judgement,2025,Scope 3,0.78,7644.0
SUP-031,DairyPath Supply,Food & Beverage,Supplier Target,2025,Scope 1,0.15,1432.5
SUP-031,DairyPath Supply,Food & Beverage,Supplier Target,2025,Scope 2,0.12,1146.0
SUP-031,DairyPath Supply,Food & Beverage,Supplier Target,2025,Scope 3,0.73,6971.5
SUP-032,BlueLake Beverages,Food & Beverage,Expert Judgement,2025,Scope 1,0.1,780.0
SUP-032,BlueLake Beverages,Food & Beverage,Expert Judgement,2025,Scope 2,0.11,858.0
SUP-032,BlueLake Beverages,Food & Beverage,Expert Judgement,2025,Scope 3,0.79,6162.0
SUP-033,CircuitPro Components,Electronics,Supplier Target,2025,Scope 1,0.15,1732.5
SUP-033,CircuitPro Components,Electronics,Supplier Target,2025,Scope 2,0.24,2772.0
SUP-033,CircuitPro Components,Electronics,Supplier Target,2025,Scope 3,0.61,7045.5
SUP-034,BrightChip Devices,Electronics,Supplier Target,2025,Scope 1,0.16,1728.0
SUP-034,BrightChip Devices,Electronics,Supplier Target,2025,Scope 2,0.25,2700.0
SUP-034,BrightChip Devices,Electronics,Supplier Target,2025,Scope 3,0.59,6372.0
SUP-035,NorthStar Sensors,Electronics,Expert Judgement,2025,Scope 1,0.14,1239.0
SUP-035,NorthStar Sensors,Electronics,Expert Judgement,2025,Scope 2,0.23,2035.5
SUP-035,NorthStar Sensors,Electronics,Expert Judgement,2025,Scope 3,0.63,5575.5
SUP-036,Electra Assemblies,Electronics,Supplier Target,2025,Scope 1,0.13,1092.0
SUP-036,Electra Assemblies,Electronics,Supplier Target,2025,Scope 2,0.22,1848.0
SUP-036,Electra Assemblies,Electronics,Supplier Target,2025,Scope 3,0.65,5460.0
SUP-037,ValueMart Retail Supply,Retail,Expert Judgement,2025,Scope 1,0.08,728.0
SUP-037,ValueMart Retail Supply,Retail,Expert Judgement,2025,Scope 2,0.12,1092.0
SUP-037,ValueMart Retail Supply,Retail,Expert Judgement,2025,Scope 3,0.8,7280.0
SUP-038,Urban Merch Partners,Retail,Supplier Target,2025,Scope 1,0.07,588.0
SUP-038,Urban Merch Partners,Retail,Supplier Target,2025,Scope 2,0.13,1092.0
SUP-038,Urban Merch Partners,Retail,Supplier Target,2025,Scope 3,0.8,6720.0
SUP-039,OmniStore Services,Retail,Expert Judgement,2025,Scope 1,0.09,666.0
SUP-039,OmniStore Services,Retail,Expert Judgement,2025,Scope 2,0.12,888.0
SUP-039,OmniStore Services,Retail,Expert Judgement,2025,Scope 3,0.79,5846.0
SUP-040,ShelfReady Goods,Retail,Expert Judgement,2025,Scope 1,0.08,548.0
SUP-040,ShelfReady Goods,Retail,Expert Judgement,2025,Scope 2,0.11,753.5
SUP-040,ShelfReady Goods,Retail,Expert Judgement,2025,Scope 3,0.81,5548.5
SUP-041,EcoPack Films,Packaging,Supplier Target,2025,Scope 1,0.18,1548.0
SUP-041,EcoPack Films,Packaging,Supplier Target,2025,Scope 2,0.18,1548.0
SUP-041,EcoPack Films,Packaging,Supplier Target,2025,Scope 3,0.64,5504.0
SUP-042,BoxWorks International,Packaging,Supplier Target,2025,Scope 1,0.16,1232.0
SUP-042,BoxWorks International,Packaging,Supplier Target,2025,Scope 2,0.17,1309.0
SUP-042,BoxWorks International,Packaging,Supplier Target,2025,Scope 3,0.67,5159.0
SUP-043,ClearBottle Plastics,Packaging,Expert Judgement,2025,Scope 1,0.2,1420.0
SUP-043,ClearBottle Plastics,Packaging,Expert Judgement,2025,Scope 2,0.16,1136.0
SUP-043,ClearBottle Plastics,Packaging,Expert Judgement,2025,Scope 3,0.64,4544.0
SUP-044,PaperLoop Mills,Packaging,Supplier Target,2025,Scope 1,0.14,868.0
SUP-044,PaperLoop Mills,Packaging,Supplier Target,2025,Scope 2,0.19,1178.0
SUP-044,PaperLoop Mills,Packaging,Supplier Target,2025,Scope 3,0.67,4154.0
SUP-045,GreenWrap Packaging,Packaging,Expert Judgement,2025,Scope 1,0.18,981.0
SUP-045,GreenWrap Packaging,Packaging,Expert Judgement,2025,Scope 2,0.17,926.5
SUP-045,GreenWrap Packaging,Packaging,Expert Judgement,2025,Scope 3,0.65,3542.5
SUP-046,CottonWay Textiles,Textiles,Supplier Target,2025,Scope 1,0.11,847.0
SUP-046,CottonWay Textiles,Textiles,Supplier Target,2025,Scope 2,0.2,1540.0
SUP-046,CottonWay Textiles,Textiles,Supplier Target,2025,Scope 3,0.69,5313.0
SUP-047,WeaveRight Mills,Textiles,Supplier Target,2025,Scope 1,0.1,660.0
SUP-047,WeaveRight Mills,Textiles,Supplier Target,2025,Scope 2,0.21,1386.0
SUP-047,WeaveRight Mills,Textiles,Supplier Target,2025,Scope 3,0.69,4554.0
SUP-048,DyeStar Processing,Textiles,Expert Judgement,2025,Scope 1,0.13,806.0
SUP-048,DyeStar Processing,Textiles,Expert Judgement,2025,Scope 2,0.22,1364.0
SUP-048,DyeStar Processing,Textiles,Expert Judgement,2025,Scope 3,0.65,4030.0
SUP-049,FiberLink Global,Textiles,Supplier Target,2025,Scope 1,0.12,672.0
SUP-049,FiberLink Global,Textiles,Supplier Target,2025,Scope 2,0.19,1064.0
SUP-049,FiberLink Global,Textiles,Supplier Target,2025,Scope 3,0.69,3864.0
SUP-050,DenimSource Ltd.,Textiles,Expert Judgement,2025,Scope 1,0.14,728.0
SUP-050,DenimSource Ltd.,Textiles,Expert Judgement,2025,Scope 2,0.2,1040.0
SUP-050,DenimSource Ltd.,Textiles,Expert Judgement,2025,Scope 3,0.66,3432.0
