SupplierID,SupplierName,Industry,Region,Country,ForecastMethod,Year,YearStatus,ActualEmissions_tCO2e,ForecastEmissions_tCO2e,BaselineEmissions_tCO2e,NetZeroPathway_tCO2e,ReductionVs2025_tCO2e,ReductionVs2025Pct,DefaultScenarioLabel
SUP-001,Atlas Mining Co.,Mining,APAC,Australia,Supplier Target,2018,Actual,32129.3,,,,-4479.3,-0.162,FY2030_Add5_Expert3_Growth2_NZ2050
SUP-001,Atlas Mining Co.,Mining,APAC,Australia,Supplier Target,2019,Actual,31438.0,,,,-3788.0,-0.137,FY2030_Add5_Expert3_Growth2_NZ2050
SUP-001,Atlas Mining Co.,Mining,APAC,Australia,Supplier Target,2020,Actual,30774.5,,,,-3124.5,-0.113,FY2030_Add5_Expert3_Growth2_NZ2050
SUP-001,Atlas Mining Co.,Mining,APAC,Australia,Supplier Target,2021,Actual,30110.8,,,,-2460.8,-0.089,FY2030_Add5_Expert3_Growth2_NZ2050
SUP-001,Atlas Mining Co.,Mining,APAC,Australia,Supplier Target,2022,Actual,29668.4,,,,-2018.4,-0.073,FY2030_Add5_Expert3_Growth2_NZ2050
SUP-001,Atlas Mining Co.,Mining,APAC,Australia,Supplier Target,2023,Actual,28783.6,,,,-1133.6,-0.041,FY2030_Add5_Expert3_Growth2_NZ2050
SUP-001,Atlas Mining Co.,Mining,APAC,Australia,Supplier Target,2024,Actual,28092.4,,,,-442.4,-0.016,FY2030_Add5_Expert3_Growth2_NZ2050
SUP-001,Atlas Mining Co.,Mining,APAC,Australia,Supplier Target,2025,Actual,27650.0,,30527.8,,0.0,0.0,FY2030_Add5_Expert3_Growth2_NZ2050
SUP-001,Atlas Mining Co.,Mining,APAC,Australia,Supplier Target,2026,Forecast,,25890.4,30527.8,,1759.6,0.0636,FY2030_Add5_Expert3_Growth2_NZ2050
SUP-001,Atlas Mining Co.,Mining,APAC,Australia,Supplier Target,2027,Forecast,,24049.3,30527.8,,3600.7,0.1302,FY2030_Add5_Expert3_Growth2_NZ2050
SUP-001,Atlas Mining Co.,Mining,APAC,Australia,Supplier Target,2028,Forecast,,22124.2,30527.8,,5525.8,0.1998,FY2030_Add5_Expert3_Growth2_NZ2050
